FLIGHTS.flno  FLIGHTS.from  FLIGHTS.to  FLIGHTS.distance  FLIGHTS.departs  FLIGHTS.arrives  SCHEDULE.flno  SCHEDULE.aid  
0	pnuvjphhof	gyndbszwuk	4664	84652415	63823035	0	1243	
15	pvemexeaep	xsnrqywggs	1414	8975248	12539125	15	10210	
24	djwczwtonx	jjqvdlgcqb	3454	5299408	81414069	24	18744	
25	iyodbswhir	fvyfqozshr	5686	34499868	67168908	25	12913	
25	iyodbswhir	fvyfqozshr	5686	34499868	67168908	25	11618	
36	takgiglozy	qgjndamthl	1327	33632867	85423334	36	3326	
52	bygkndsebe	xyppmngykw	3444	61994649	43157725	52	15303	
54	bydgcawtes	mzmyhtrdaw	5887	82454199	63558291	54	18427	
55	hmhpdapzrx	ovdxhbvkvq	2902	21954392	43525895	55	2090	
55	hmhpdapzrx	ovdxhbvkvq	2902	21954392	43525895	55	8698	
66	wuarbbeomp	jjzcrppmfo	7328	16980078	25727990	66	19757	
66	wuarbbeomp	jjzcrppmfo	7328	16980078	25727990	66	10968	
69	zvbhwdvyii	kemmknjxee	3324	10771166	12473937	69	19071	
73	gcrvphdgzf	fzwrxldgpq	818	22618248	30684479	73	7038	
80	ycvcwxpbwk	rctltcjcjj	603	42418815	31211073	80	1205	
85	ukkcgswavk	ybzalffkle	5333	30521913	35817057	85	17939	
90	redmqzbgkp	lelhmirklx	681	55745631	68737784	90	7084	
100	osvhhrtejq	huwbkgostd	5251	32731833	45256017	100	18534	
105	rlvtjuxant	jqdaztglku	2788	81846237	65216908	105	11995	
108	gbokkgclmf	agzuzmvlwv	4589	85595391	33563020	108	3453	
122	ksfkpuhtxk	gcbfoxgoqy	6366	69885839	10952229	122	6448	
123	lmgovnahhi	jkjzeveyvq	1464	62849800	59051701	123	14551	
123	lmgovnahhi	jkjzeveyvq	1464	62849800	59051701	123	13660	
124	jetopvxsjx	feugbbqltx	801	24054390	50761432	124	17360	
128	frvquzmuny	tomadeoluu	1286	14307180	79004535	128	11660	
142	wfcibmmizl	mqlqqbhsoe	2077	2964720	4972921	142	10954	
149	esfhfkfqqd	dempgrbmdw	5480	36999497	74059436	149	14548	
161	jrsbtwjwqx	fgmtwnijdu	6176	33773557	67181402	161	5307	
161	jrsbtwjwqx	fgmtwnijdu	6176	33773557	67181402	161	15923	
168	qolddhxagn	sgkhhjsmau	7287	28246089	16433232	168	18147	
169	cevaflngmg	rszeqbinaf	1917	8853619	18513259	169	17317	
175	cweevhtcpg	bvtyzezpap	2917	53166023	65712020	175	13039	
178	xblwoxhhys	kdltkqkywe	1415	23556359	3461750	178	14667	
184	waewmruzpj	bsetubudbg	505	1508379	60528284	184	4959	
189	mknqheaggp	wldgpolemj	4248	55563174	7562105	189	18392	
190	ehcemyqqbs	xerkzlxbgi	6898	63130180	23185653	190	18369	
191	tfmpdnjozw	gzdyknorka	3023	65124117	60887849	191	18611	
191	tfmpdnjozw	gzdyknorka	3023	65124117	60887849	191	5299	
191	tfmpdnjozw	gzdyknorka	3023	65124117	60887849	191	18622	
216	fpsckibbey	bnoovykgvn	310	58245971	81952708	216	16946	
216	fpsckibbey	bnoovykgvn	310	58245971	81952708	216	7981	
216	fpsckibbey	bnoovykgvn	310	58245971	81952708	216	4108	
217	albbrfbefp	otlpeltubc	4009	45531707	4593912	217	18316	
219	memnmwffup	izybemyqxm	1045	20142966	30638192	219	14904	
219	memnmwffup	izybemyqxm	1045	20142966	30638192	219	5089	
223	zrvxxsxelj	vjrgcmocvj	5365	41675833	83834145	223	5478	
229	utmcrtcjtl	riobauskqb	1288	86320228	7128429	229	10692	
231	dqtyhfdons	upkljnenyz	5355	82965712	35496159	231	12796	
236	qeposynlke	wcomuqcrtp	1215	15980709	44312334	236	19822	
242	gunjvuvxgg	rpzpssvbmh	1145	79938985	13143986	242	18959	
243	lyvrbzjciv	qdeixhaudf	1256	4971317	52905065	243	10130	
254	tfrshlwvwq	apjzybpneq	35	58000796	17529349	254	4832	
255	gzyuaajpqj	vqhvqmebeo	5286	68416273	62068999	255	16785	
258	vtoeeyrvzr	myqfxnemxq	4219	66592179	61489132	258	6912	
267	fxzthicuit	xtzfeyiqpz	3919	69652840	36050537	267	11851	
268	shiftrgvfv	hgfoxpwqjk	3941	30782152	5384693	268	1706	
