SCHEDULE.flno  SCHEDULE.aid  FLIGHTS.flno  FLIGHTS.from  FLIGHTS.to  FLIGHTS.distance  FLIGHTS.departs  FLIGHTS.arrives  
11122	8212	11122	fzcbzietib	ypfurmeiuq	5936	17978122	23490423	
1536	19190	1536	xbfenmyvut	pypqytxfzi	3188	79128162	42359118	
3341	5371	3341	uyiqvglvwk	nwlpwbzaso	5303	7836534	68357734	
14385	12922	14385	eszawrgrtt	azcrwwudyd	1593	56428883	22929654	
11458	2066	11458	olkjzzxilg	rxpwfsxhkb	5574	68620979	2616060	
8460	8184	8460	blajjfdffl	ydojadnwut	5049	24864426	40698405	
8460	18424	8460	blajjfdffl	ydojadnwut	5049	24864426	40698405	
6783	304	6783	ftkgflluym	qpzqhmkudu	2410	49366465	30808502	
16857	10286	16857	rexumwjlfq	ykrzvupqgy	1862	63671992	59794729	
8844	15932	8844	dnsqxmrlfu	xdiuhqpdzb	6082	33632546	7228413	
15281	7326	15281	zjoqrzwryb	jpcchkazgp	4551	26596191	27929251	
16020	7365	16020	guzufzvtlq	zwsgmeqizf	7990	61981744	77447465	
12539	351	12539	kiselswcsq	wggjospyur	4202	55577058	56702455	
7718	2737	7718	xnnifkatjd	rqpzulcfvu	5673	3892406	41553729	
890	18968	890	egxubcarqt	uahtwkuhgy	3363	10498593	13033562	
3060	7388	3060	oijzsjfkze	hhylwztxzw	1293	34751698	29420287	
3060	19804	3060	oijzsjfkze	hhylwztxzw	1293	34751698	29420287	
566	761	566	tvnajgwaqd	xfwicdtppj	204	85615707	68755314	
16092	17858	16092	hlknnzvatx	hcccbmbpjb	1528	57178261	55074896	
16536	8709	16536	lfqendayxh	xfqyvvhtfq	7438	37494028	41139764	
15481	4330	15481	xjggglvtvm	gxmjjeawyt	4125	25977373	42680856	
13107	12253	13107	smbpfecpmz	rvyslyzxdx	6943	41447814	69300563	
3060	11897	3060	oijzsjfkze	hhylwztxzw	1293	34751698	29420287	
1463	19195	1463	oxmxvayvkv	btkgvuulef	6070	64420210	76022938	
10518	11872	10518	dunowuczdp	pmpqqynocu	7108	45973759	18590418	
11836	1356	11836	yzxgtvdxyz	cjbtbwqnkj	4362	55714232	8979352	
13107	5749	13107	smbpfecpmz	rvyslyzxdx	6943	41447814	69300563	
12	19102	12	ynbdmmycio	ghlrehsuey	538	49435608	19651692	
3742	8276	3742	axdyttyxxs	qivqtlulsy	5250	1080122	11319045	
8975	11306	8975	gkuarkauqz	zoezifijtr	2880	68535905	64406562	
