SCHEDULE.flno  SCHEDULE.aid  AIRCRAFTS.aid  AIRCRAFTS.aname  AIRCRAFTS.cruisingrange  
4649	14990	14990	swtrcitjsq	187	
15436	862	862	ebclssjlgk	1215	
11194	1048	1048	cxzcykfngw	2684	
4650	78	78	qolwiijsey	5783	
8677	7495	7495	hncmzvxbxc	205	
11264	15763	15763	ouizarygoc	7182	
7386	7495	7495	hncmzvxbxc	205	
15847	2354	2354	ljqzcltich	4555	
17677	12782	12782	xdzevglczj	5418	
9185	18038	18038	nhhqojvdry	4017	
14801	8811	8811	xkjisxxrir	830	
17776	12965	12965	fjrejwesyy	3378	
5577	19149	19149	sxankqauho	8559	
5559	2332	2332	ojhrklswkz	3937	
5134	8811	8811	xkjisxxrir	830	
7486	625	625	xbluddktgu	6888	
19000	19149	19149	sxankqauho	8559	
6152	10622	10622	fcdjgowwut	216	
5062	10337	10337	waqayudvfl	3881	
15533	15806	15806	hximwinsnu	7360	
12244	17344	17344	ovfhpxloth	4957	
9358	8	8	xxkjqzndog	434	
6304	12107	12107	cbmvjqqems	393	
12886	17414	17414	rjulkdfgll	7099	
2049	13897	13897	szkagfomlr	4798	
16822	11270	11270	iyuuoibtht	2727	
17551	10355	10355	hvgcwmtdyd	4145	
10889	16824	16824	mkxqryeucu	6955	
4952	19610	19610	ohqkowwmnr	3703	
651	17546	17546	snoovzdnyh	1489	
15591	8143	8143	cforhdkpnx	6027	
14885	12228	12228	fpacirqobp	1508	
17873	6722	6722	bdyznvzfdq	7766	
13435	4930	4930	hzllvtdivs	997	
10396	9725	9725	onfyejdjst	5037	
17225	7554	7554	sbkzcsmhrx	3524	
4196	19624	19624	kkjwsbaqzk	1610	
12916	16960	16960	zigupdwohv	2137	
13267	12767	12767	lzurwiiahg	3594	
9782	6575	6575	cjmnzclrqo	1330	
14803	5795	5795	aynrirzevt	799	
13749	4875	4875	cauvqyrxzv	7570	
9509	9195	9195	vctwcnqrpz	7669	
5319	9195	9195	vctwcnqrpz	7669	
16556	957	957	drktqmekxn	5230	
3553	15244	15244	ilmhmpgnok	5551	
17910	8379	8379	hqpcuygmae	457	
19690	12213	12213	hybpnrxhij	5207	
12822	5602	5602	bfammuhfny	5380	
7789	8379	8379	hqpcuygmae	457	
4757	16641	16641	bkyhonsste	6449	
4421	14842	14842	rcwboqtqei	4624	
13520	14842	14842	rcwboqtqei	4624	
4647	14842	14842	rcwboqtqei	4624	
14119	17657	17657	zbcbptkgap	3641	
10568	15010	15010	qlzvclmmjk	8342	
236	19822	19822	eanbocoqxj	4301	
11832	12076	12076	xineizpsmr	7437	
3751	1683	1683	pgvmrlznlp	6359	
14061	7905	7905	smjcldnqdb	5118	
16474	16671	16671	tzsddreebn	8550	
16991	8329	8329	oxgykhuuux	1209	
11468	13208	13208	lqrbihfakf	2995	
18046	6349	6349	yafrbsvpjd	5629	
2013	11255	11255	axilmvqpnq	2192	
11976	16069	16069	gpdlcmilre	556	
15796	9015	9015	kxhanyqmsc	6457	
2678	6349	6349	yafrbsvpjd	5629	
14011	4031	4031	rwlhzmfuoe	7096	
7613	5124	5124	edsuhjzpvd	4245	
12202	18729	18729	rzjhtezroo	6308	
6849	5497	5497	nasrxrekrs	1121	
13542	18729	18729	rzjhtezroo	6308	
3499	5497	5497	nasrxrekrs	1121	
6941	16628	16628	dffvhtnygi	718	
6379	12211	12211	idfoccbjad	1946	
10382	3303	3303	ijtlxnmvxi	3134	
4801	4480	4480	ilwalcgqzg	5471	
2277	19592	19592	prbiuekkwb	1307	
16856	6277	6277	jvibnvnpam	2263	
10933	207	207	inyxugavex	2675	
5811	14701	14701	jgvvfofbgm	1794	
16732	15920	15920	uaweayfksb	1359	
16804	16271	16271	zdkilkiwob	7024	
6518	9823	9823	yxdemwqbzs	8081	
12863	3472	3472	hwqtusxzjy	4825	
19283	17023	17023	vlulqrinlo	8629	
5243	13037	13037	pvvlwkxmyt	5397	
14343	9668	9668	xqnesolfsf	6319	
9620	9668	9668	xqnesolfsf	6319	
5604	15929	15929	bpqbkkpusf	4578	
16243	19250	19250	qscarohxnp	3741	
9632	2732	2732	wnfixjihiq	2055	
10990	3057	3057	vdjeojbmul	5324	
3783	6247	6247	jmjpgrpozz	157	
5128	8265	8265	joutkawyfn	5383	
